race,round,gain
Emilia Romagna Grand Prix,2,0
Bahrain Grand Prix,1,-2
Qatar Grand Prix,20,5
Portuguese Grand Prix,3,2
Spanish Grand Prix,4,0
Monaco Grand Prix,5,-19
Azerbaijan Grand Prix,6,-3
Styrian Grand Prix,8,0
French Grand Prix,7,-9
Austrian Grand Prix,9,4
British Grand Prix,10,2
Hungarian Grand Prix,11,-13
Belgian Grand Prix,12,1
Dutch Grand Prix,13,0
Italian Grand Prix,14,1
Russian Grand Prix,15,4
Turkish Grand Prix,16,-1
United States Grand Prix,17,0
Mexico City Grand Prix,18,3
São Paulo Grand Prix,19,1
Saudi Arabian Grand Prix,21,-3
Abu Dhabi Grand Prix,22,-3
